PMID,Title,Abstract
35358570,Molnupiravir; molecular and functional descriptors of mitochondrial safety.,"Molnupiravir is an orally active nucleoside analog antiviral drug that recently was approved by the U.S. FDA for emergency treatment of adult patients infected with the SARS-CoV-2 (COVID-19) virus and at risk for severe progression. The active form of the drug, N-hydroxycytidine (NHC) triphosphate competes for incorporation by RNA-dependent RNA-polymerase (RdRp) into the replicating viral genome resulting in mutations and arrest of the replicating virus. Historically, some nucleoside analog antiviral drugs have been found to lack specificity for the virus and also inhibit replication and/or expression of the mitochondrial genome. The objective of the present study was to test whether molnupiravir and/or NHC also target mitochondrial DNA polymerase gamma (PolG) or RNA polymerase (POLRMT) activity to inhibit the replication and/or expression of the mitochondrial genome leading to impaired mitochondrial function. Human-derived HepG2 cells were exposed for 48 h in culture to increasing concentrations of either molnupiravir or NHC after which cytotoxicity, mtDNA copy number and mitochondrial gene expression were determined. The phenotypic endpoint, mitochondrial respiration, was measured with the Seahorse® XF96 Extracellular Flux Analyzer. Both molnupiravir and NHC were cytotoxic at concentrations of ≥10 μM. However, at non-cytotoxic concentrations, neither significantly altered mitochondrial gene dose or transcription, or mitochondrial respiration. From this we conclude that mitochondrial toxicity is not a primary off target in the mechanism of cytotoxicity for either molnupiravir or its active metabolite NHC in the HepG2 cell line."
35427117,A Nanopore Based Molnupiravir Sensor.,"Nucleoside analogues are reagents that resemble the structure of natural nucleosides and are widely applied in antiviral and anticancer therapy. Molnupiravir, a recently reported nucleoside analogue drug, has shown its inhibitory effect against SARS-CoV-2. Rapid tracing of molnupiravir and its metabolites is important in the evaluation of its pharmacology effect, but direct sensing of molnupiravir as a single molecule has not been reported to date. Here, we demonstrate a nanopore-based sensor with which direct sensing of molnupiravir and its two major metabolites β-d-N4-hydroxycytidine and its triphosphate can be achieved simultaneously. In conjunction with a custom machine learning algorithm, an accuracy of 92% was achieved. This sensing strategy may be useful in the current pandemic and is in principle suitable for other nucleoside analogue drugs."
35276385,A stability indicating RP-HPLC method for determination of the COVID-19 drug molnupiravir applied using nanoformulations in permeability studies.,"Antiviral drugs have gained much more attention in recent years due to severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection and many drug candidates are currently under investigation in order to end pandemic. Molnupiravir, a prodrug of the synthetic nucleoside derivative N4-hydroxycytidine, is one of the promising candidates for SARS-CoV-2 treatment. In this study, a RP-HPLC method was developed for the determination of Molnupiravir and applied for in vitro permeability studies of self-emulsifying drug delivery system (SEDDS) formulations using Caco-2 cell line. Discovery® HS C18 Column (75 ×4.6 mm, 3 µm) was used at 30 °C. Isocratic elution was performed with ACN:water (20:80 v/v) mixture. The flow rate was 0.5 mL/min and UV detection was at 240 nm. Molnupiravir eluted within 5 min. Molnupiravir was exposed to thermal, photolytic, hydrolytic, and oxidative stress conditions. Peak homogeneity data of Molnupiravir in the stressed samples peak obtained using photodiode array detector, in the stressed sample chromatograms, demonstrated the specificity of the method for their estimation in presence of degradants. The developed method was validated according to the International Council for Harmonisation (ICH) guidelines and found to be linear within the range 0.1-60.0 μg/mL. The method was simple, rapid, selective, sensitive, accurate, precise, robust and rugged. Thus, it was applied successfully for permeability quantitation of Molnupiravir in nanoformulations. The apparent permeability of Molnupiravir in SEDDS formulations, which have droplet size under 350 nm, was calculated as 3.20 ± 0.44 × 10(-6) cm/s."
35013606,COVID is here to stay: countries must decide how to adapt.,
35294426,An EUA for bebtelovimab for treatment of COVID-19.,
35224970,An Engineered Cytidine Deaminase for Biocatalytic Production of a Key Intermediate of the Covid-19 Antiviral Molnupiravir.,"The Covid-19 pandemic highlights the urgent need for cost-effective processes to rapidly manufacture antiviral drugs at scale. Here we report a concise biocatalytic process for Molnupiravir, a nucleoside analogue recently approved as an orally available treatment for SARS-CoV-2. Key to the success of this process was the development of an efficient biocatalyst for the production of N-hydroxy-cytidine through evolutionary adaption of the hydrolytic enzyme cytidine deaminase. This engineered biocatalyst performs >85 000 turnovers in less than 3 h, operates at 180 g/L substrate loading, and benefits from in situ crystallization of the N-hydroxy-cytidine product (85% yield), which can be converted to Molnupiravir by a selective 5'-acylation using Novozym 435."
35165657,Outpatient Therapies for COVID-19: How Do We Choose?,"BACKGROUND: Several outpatient coronavirus disease 2019 (COVID-19) therapies have reduced hospitalization in randomized controlled trials. The choice of therapy may depend on drug efficacy, toxicity, pricing, availability, and available infrastructure. To facilitate comparative decision-making, we evaluated the efficacy of each treatment in clinical trials and estimated the cost per hospitalization prevented. METHODS: Wherever possible, we obtained relative risk for hospitalization from published randomized controlled trials. Otherwise, we extracted data from press releases, conference abstracts, government submissions, or preprints. If there was >1 study, the results were meta-analyzed. Using relative risk, we estimated the number needed to treat (NNT), assuming a baseline hospitalization risk of 5%, and compared the cost per hospitalization prevented with the estimate for an average Medicare COVID-19 hospitalization ($21 752). Drug pricing was estimated from GoodRx, from government purchases, or manufacturer estimates. Administrative and societal costs were not included. Results will be updated online as new studies emerge and/or final numbers become available. RESULTS: At a 5% risk of hospitalization, the estimated NNT was 80 for fluvoxamine, 91 for colchicine, 72 for inhaled corticosteroids, 24 for nirmatrelvir/ritonavir, 50 for molnupiravir, 28 for remdesivir, 25 for sotrovimab, 29 for casirivimab/imdevimab, and 29 for bamlanivimab/etesevimab. For drug cost per hospitalization prevented, colchicine, fluvoxamine, inhaled corticosteroids, and nirmatrelvir/ritonavir were below the Medicare estimated hospitalization cost. CONCLUSIONS: Many countries are fortunate to have access to several effective outpatient therapies to prevent COVID-19 hospitalization. Given differences in efficacy, toxicity, cost, and administration complexity, this assessment serves as one means to frame treatment selection."
35233571,Molnupiravir (MK-4482) is efficacious against Omicron and other SARS-CoV-2 variants in the Syrian hamster COVID-19 model.,"The recent emergence of the SARS-CoV-2 Omicron variant of concern (VOC) containing a heavily mutated spike protein capable of escaping preexisting immunity, identifies a continued need for interventional measures. Molnupiravir (MK-4482), an orally administered nucleoside analog, has demonstrated efficacy against earlier SARS-CoV-2 lineages and was recently approved for SARS-CoV-2 infections in high-risk adults. Here we assessed the efficacy of MK-4482 against the earlier Alpha, Beta and Delta VOCs and Omicron in the Syrian hamster COVID-19 model. Omicron replication and associated lung disease in vehicle treated hamsters was reduced compared to the earlier VOCs. MK-4482 treatment inhibited virus replication in the lungs of Alpha, Beta and Delta VOC infected hamsters. Importantly, MK-4482 profoundly inhibited virus replication in the upper and lower respiratory tract of hamsters infected with the Omicron VOC. Consistent with its mutagenic mechanism, MK-4482 treatment had a more pronounced inhibitory effect on infectious virus titers compared to viral RNA genome load. Histopathologic analysis showed that MK-4482 treatment caused a concomitant reduction in the level of lung disease and viral antigen load in infected hamsters across all VOCs examined. Together, our data indicate the potential of MK-4482 as an effective antiviral against known SARS-CoV-2 VOCs, especially Omicron, and likely future SARS-CoV-2 variants. ONE SENTENCE SUMMARY: MK-4482 inhibits replication of multiple SARS-CoV-2 variants of concern, including Omicron, in the Syrian hamster COVID-19 model."
35171899,COVID-19 updates: NIH outpatient treatment guidelines.,
35134051,Treatment of COVID-19 in high-risk outpatients.,
35341442,What impact can molnupiravir have on the treatment of SARS-CoV-2 infection?,
35073629,Oral antivirals for the prevention and treatment of SARS-CoV-2 infection.,"Vaccines and antivirals are the classical weapons deployed to contain, prevent, and treat life-threatening viral illnesses. Specifically, for SARS-CoV-2 infection, vaccines protect against severe COVID-19 disease manifestations and complications. However, waning immunity and emergence of vaccine escape mutants remains a growing threat. This is highlighted by the current surge of the omicron COVID-19 variant. Thus, there is a race to find treatment alternatives. We contend that oral small molecule antivirals that halt SARSCoV- 2 infection are essential. Compared to currently available monoclonal antibodies and remdesivir, where parenteral administration is required, oral antivirals offer treatments in an outpatient setting with dissemination available on a larger scale. In response to this need at 2021's end, regulatory agencies provided emergency use authorization for both molnupiravir and nirmatrelvir. These medicines act on the viral polymerase and protease, respectively. Each is given for 5 days and can reduce disease progression by 30% and 89%, respectively. The advent of additional oral antivirals, the assessment of combination therapies, the formulation of extended-release medications, and their benefit for both early treatment and prophylaxis will likely transform the landscape of the COVID-19 pandemic."
35299948,Cost of Goods Analysis Facilitates an Integrated Approach to Identifying Alternative Synthesis Methodologies for Lower Cost Manufacturing of the COVID-19 Antiviral Molnupiravir.,"Orally delivered drugs offer significant benefits in the fight against viral infections, and cost-effective production is critical to their impact on pandemic response in low- and middle-income countries. One example, molnupiravir, a COVID-19 therapy developed by Emory, Ridgeback, and Merck & Co., had potential to benefit from significant cost of goods (COGs) reductions for its active pharmaceutical ingredient (API), including starting materials. A holistic approach to identifying, developing, and evaluating optimized synthetic routes, which includes detailed COGs modeling, provides a rapid means to increase the availability, uptake and application of molnupiravir and other antivirals in global markets. Identification and development of alternate processes for the synthesis of molnupiravir has been conducted by the Medicines for All Institute at Virginia Commonwealth University (M4ALL) and the Green and Turner Labs at the University of Manchester. Both groups developed innovative processes based on synthetic route design and biocatalysis aimed at lowering costs and improving global access. The authors then performed COGs modeling to assess cost saving opportunities. This included a focus on manufacturing environments and facilities amenable to global public health and the identification of key parameters using sensitivity analyses. While all of the evaluated routes provide efficiency benefits, the best options yielded 3-6 fold API COGs reductions leading to treatment COGs as low as <$3/regimen. Additionally, key starting materials and cost drivers were quantified to evaluate the robustness of the savings. Finally, COGs models can continue to inform the focus of future development efforts on the most promising routes for additional cost savings. While the full price of a treatment course includes other factors, these alternative API synthetic approaches have significant potential to help facilitate broader access in low- and middle-income countries. As other promising therapeutics are developed, a similar process could enable rapid cost reductions while enhancing global access."
35233163,Can Panax ginseng help control cytokine storm in COVID-19?,"Coronavirus disease 2019 (COVID-19) is currently a pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). COVID-19 are directly associated with hyper-activation of innate immune response that excessively produce pro-inflammatory cytokines and induce cytokine storm, leading to multi-organ-failure and significant morbidity/mortality. Currently, several antiviral drugs such as Paxlovid (nirmatrelvir and ritonavir) and molnupiravir are authorized to treat mild to moderate COVID-19, however, there are still no drugs that can specifically fight against challenges of SARS-CoV-2 variants. Panax ginseng, a medicinal plant widely used for treating various conditions, might be appropriate for this need due to its anti-inflammatory/cytokine/viral activities, fewer side effects, and cost efficiency. To review Panax ginseng and its pharmacologically active-ingredients as potential phytopharmaceuticals for treating cytokine storm of COVID-19, articles that reporting its positive effects on the cytokine production were searched from academic databases. Experimental/clinical evidences for the effectiveness of Panax ginseng and its active-ingredients in preventing or mitigating cytokine storm, especially for the cascade of cytokine storm, suggest that they might be beneficial as an adjunct treatment for cytokine storm of COVID-19. This review may provide a new approach to discover specific medications using Panax ginseng to control cytokine storm of COVID-19."
35064230,Why scientists are racing to develop more COVID antivirals.,
35185356,Insight into the biological impact of COVID-19 and its vaccines on human health.,"COVID-19 (coronavirus disease-2019) is a contagious illness that has been declared a global epidemic by the World Health Organization (WHO). The coronavirus causes diseases ranging in severity from the common cold to severe respiratory diseases and death. Coronavirus primarily affects blood pressure by attaching to the angiotensin converting enzyme 2 (ACE 2) receptor. This virus has an impact on multiple organ systems, including the central nervous system, immune system, cardiovascular system, peripheral nervous system, gastrointestinal tract, endocrine system, urinary system, skin, and pregnancy. For the prevention of COVID-19, various vaccines such as viral-like particle vaccines, entire inactivated virus vaccines, viral vector vaccines, live attenuated virus vaccines, subunit vaccines, RNA vaccines, and DNA vaccines are now available. Some of the COVID-19 vaccines are reported to cause a variety of adverse effects that range from mild to severe in nature. SARS-CoV-2 replication is controlled by the RNA-Dependent RNA-Polymerase enzyme (RdRp). The availability of FDA-approved anti-RdRp drugs (Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir) as potent drugs against SARS-CoV-2 that tightly bind to its RdRp may aid in the treatment of patients and reduce the risk of the mysterious new form of COVID-19 viral infection. RdRp inhibitors, such as remdesivir (an anti-Ebola virus experimental drug) and favipiravir (an anti-influenza drug), inhibit RdRp and thus slow the progression of COVID-19 and associated clinical symptoms, as well as significantly shorten recovery time. Molnupiravir, an orally active RdRp inhibitor and noval broad spectrum antiviral agent, is an isopropyl pro-drug of EIDD-1931 for emergency use. Galidesivir's in vitro and in vivo activities are limited to RNA of human public health concern. Top seeds for antiviral treatments with high potential to combat the SARS-CoV-2 strain include guanosine derivatives (IDX-184), setrobuvir, and YAK. The goal of this review is to compile scattered information on available COVID-19 vaccines and other treatments for protecting the human body from their harmful effects and to provide options for making better choices in a timely manner."
35436778,COVID-19 updates: FDA restricts use of sotrovimab.,
35023215,Human genetic risk of treatment with antiviral nucleoside analog drugs that induce lethal mutagenesis: The special case of molnupiravir.,"This review considers antiviral nucleoside analog drugs, including ribavirin, favipiravir, and molnupiravir, which induce genome error catastrophe in SARS-CoV or SARS-CoV-2 via lethal mutagenesis as a mode of action. In vitro data indicate that molnupiravir may be 100 times more potent as an antiviral agent than ribavirin or favipiravir. Molnupiravir has recently demonstrated efficacy in a phase 3 clinical trial. Because of its anticipated global use, its relative potency, and the reported in vitro ""host"" cell mutagenicity of its active principle, β-d-N4-hydroxycytidine, we have reviewed the development of molnupiravir and its genotoxicity safety evaluation, as well as the genotoxicity profiles of three congeners, that is, ribavirin, favipiravir, and 5-(2-chloroethyl)-2'-deoxyuridine. We consider the potential genetic risks of molnupiravir on the basis of all available information and focus on the need for additional human genotoxicity data and follow-up in patients treated with molnupiravir and similar drugs. Such human data are especially relevant for antiviral NAs that have the potential of permanently modifying the genomes of treated patients and/or causing human teratogenicity or embryotoxicity. We conclude that the results of preclinical genotoxicity studies and phase 1 human clinical safety, tolerability, and pharmacokinetics are critical components of drug safety assessments and sentinels of unanticipated adverse health effects. We provide our rationale for performing more thorough genotoxicity testing prior to and within phase 1 clinical trials, including human PIG-A and error corrected next generation sequencing (duplex sequencing) studies in DNA and mitochondrial DNA of patients treated with antiviral NAs that induce genome error catastrophe via lethal mutagenesis."
35408729,Two Green Micellar HPLC and Mathematically Assisted UV Spectroscopic Methods for the Simultaneous Determination of Molnupiravir and Favipiravir as a Novel Combined COVID-19 Antiviral Regimen.,"Following the spread of the COVID-19 pandemic crisis, a race was initiated to find a successful regimen for postinfections. Among those trials, a recent study declared the efficacy of an antiviral combination of favipiravir (FAV) and molnupiravir (MLP). The combined regimen helped in a successful 60% eradication of the SARS-CoV-2 virus from the lungs of studied hamster models. Moreover, it prevented viral transmission to cohosted sentinels. Because both medications are orally bioavailable, the coformulation of FAV and MLP can be predicted. The developed study is aimed at developing new green and simple methods for the simultaneous determination of FAV and MLP and then at their application in the study of their dissolution behavior if coformulated together. A green micellar HPLC method was validated using an RP-C18 core-shell column (5 μm, 150 × 4.6 mm) and an isocratic mixed micellar mobile phase composed of 0.1 M SDS, 0.01 M Brij-35, and 0.02 M monobasic potassium phosphate mixture and adjusted to pH 3.1 at 1.0 mL min(-1) flow rate. The analytes were detected at 230 nm. The run time was less than five minutes under the optimized chromatographic conditions. Four other multivariate chemometric model methods were developed and validated, namely, classical least square (CLS), principal component regression (PCR), partial least squares (PLS-1), and genetic algorithm-partial least squares (GA-PLS-1). The developed models succeeded in resolving the great similarity and overlapping in the FAV and MLP UV spectra unlike the traditional univariate methods. All methods were organic solvent-free, did not require extraction or derivatization steps, and were applied for the construction of the simultaneous dissolution profile for FAV tablets and MLP capsules. The methods revealed that the amount of the simultaneously released cited drugs increases up until reaching a plateau after 15 and 20 min for FAV and MLP, respectively. The greenness was assessed on GAPI and found to be in harmony with green analytical chemistry concepts."
35474908,Ayurvedic formulations: Potential COVID-19 therapeutics?,"BACKGROUND: While Molnupiravir and Paxlovid have recently been approved for use in some countries, there are no widely available treatments for COVID-19, the disease caused by SARS-CoV-2 infection. Herbal extracts have been used to treat respiratory clinical indications by Ayurvedic medicine practitioners with minimal adverse reactions and intense research efforts are currently under way to develop some of these formulations for COVID-19 treatment. METHODS: Literature search for in silico, in vitro, in vivo, and clinical studies on the topic of Ayurvedic formulations for potential COVID-19 treatment, in order to present the current state of current knowledge by integrating information across all systems. RESULTS: The search yielded 20 peer reviewed articles on in silico studies examining the interaction of phytoconstituents of popular Ayurvedic formulations with SARS-CoV-2 components and its receptors; five articles on preclinical investigations of the ability of selected Ayurvedic formulations to inhibit functions of SARS-CoV-2 proteins; and 51 completed clinical trials on the efficacy of using Ayurvedic formulations for treatment of mild to moderate COVID-19. Clinical data was available from 17 of the 51 trials. There was a considerable overlap between formulations used in the in silico studies and the clinical trials. This finding was unexpected as there is no clearly stated alignment between studies and the traditional pathway to drug discovery- basic discovery leading to in vitro and in vivo proof of concept, followed by validation in clinical trials. This was further demonstrated in the majority of the in silico studies where focus was on potential antiviral mechanisms, while the clinical trials were focused on patient recovery using oral treatments. In all 17 clinical trials where data was available, Ayurvedic treatments lead to a shorter period to recovery in participants with COVID-19. CONCLUSION: The most commonly used Ayurvedic treatments for management of respiratory symptoms associated with SARS-CoV-2 infection appear to have prophylactic and/or therapeutic properties. It would be of particular interest to assess synergistic and concomitant systemic effects and antiviral activities of individual phytoconstituents and their combinations in the Ayurvedic treatments."
35105995,COVID-19: LMICs need antivirals as well as vaccines.,
35276667,Making Statistical Sense of the Molnupiravir MOVe-OUT Clinical Trial.,"Oral therapies for the early treatment of COVID-19 may prevent disease progression and health system overcrowding. A new oral therapeutic named molnupiravir has been promoted as providing an approximately 50% reduction in death or the need for hospitalization. The clinical trial evaluating this drug was stopped early at the recommendation of the Data Safety and Monitoring Board after approximately 50% of the sample had been recruited. At the point of discontinuing the trial, approximately 90% of the planned sample had been recruited and had available follow-up data accessible. We discuss issues about the study conduct, analysis, and interpretation, including 1) the authors and sponsors presented the interim analysis as the primary analysis; 2) communication between sponsors and the Data Safety and Monitoring Board was insufficient; 3) the treatment effects reverse when examining only the post-interim analysis population, and are substantially attenuated when examining the full data; 4) the choice of primary analysis is incorrect; 5) analysis of lost-to-follow-up patients favors the study drug; and 6) other known molnupiravir trials were not presented in the primary study findings. As a result of methodological and statistical concerns, it seems that external trials, separate from those supported by the sponsoring company, are required to determine the utility of this drug."
35041508,The Anti-COVID-19 Drug Remdesivir Promotes Oncogenic Herpesvirus Reactivation through Regulation of Intracellular Signaling Pathways.,"Recently, remdesivir and molnupiravir were approved for treating COVID-19 caused by SARS-CoV-2 infection. However, little is known about the impact of these drugs on other viruses preexisted in COVID-19 patients. Here we report that remdesivir but not molnupiravir induced lytic reactivation of Kaposi's sarcoma-associated herpesvirus (KSHV) and Epstein-Barr virus (EBV), two major oncogenic herpesviruses. Remdesivir induced mature virion production from latently infected cells. Mechanistic studies showed that remdesivir induced KSHV and EBV reactivation by regulating several intracellular signaling pathways."
35191085,Ethical concern regarding the UK PANORAMIC COVID-19 trial.,
35110950,Endothelial cells and blood vessels are major targets for COVID-19-induced tissue injury and spreading to various organs.,"The coronavirus disease 2019 (COVID-19) infected so far over 250 million people and caused the death of over 5 million worldwide. Aging, diabetes, and cardiovascular diseases, conditions with preexisting impaired endothelial functions predispose to COVID-19. While respiratory epithelium is the main route of virus entry, the endothelial cells (ECs) lining pulmonary blood vessels are also an integral part of lung injury in COVID-19 patients. COVID-19 not only affects the lungs and respiratory system but also gastrointestinal (GI) tract, liver, pancreas, kidneys, heart, brain, and skin. Blood vessels are likely conduits for the virus dissemination to these distant organs. Importantly, ECs are also critical for vascular regeneration during injury/lesions healing and restoration of vascular network. The World Journal of Gastroenterology has published in last two years over 67 outstanding papers on COVID-19 infection with a focus on the GI tract, liver, pancreas, etc., however, the role of the endothelial and vascular components as major targets for COVID-19-induced tissue injury, spreading to various organs, and injury healing have not been sufficiently emphasized. In the present article, we focus on these subjects and on current treatments including the most recent oral drugs molnupiravir and paxlovid that show a dramatic, significant efficacy in controlling severe COVID-19 infection."
35250258,Emerging small molecule antivirals may fit neatly into COVID-19 treatment.,"Numerous treatments exist for COVID-19, the illness caused by SARS-CoV-2 virus, although most are not well established; among these are several small molecule antiviral agents. Intravenous remdesivir is an established treatment worldwide for inpatients and in some countries is also available for use in non-hospitalised high risk patients to prevent progression to severe disease and hospitalization. Oral molnupiravir and oral nirmatrelvir-ritonavir are also available in several countries to prevent progression to severe disease and hospitalization for high-risk outpatients. Many other antiviral small molecules that may have therapeutic potential are under investigation in clinical trials. This article provides a summary of key molecular targets, pharmacology and preliminary data on the efficacy and safety of small molecule antiviral agents being investigated for the treatment of COVID-19."
35202860,Antiviral pills: A potential game-changing therapy against COVID-19.,
35321497,A Systematic Review of the Global Intervention for SARS-CoV-2 Combating: From Drugs Repurposing to Molnupiravir Approval.,"The rising outbreak of SARS-CoV-2 continues to unfold all over the world. The development of novel effective antiviral drugs to fight against SARS-CoV-2 is a time cost. As a result, some specific FDA-approved drugs have already been repurposed and authorized for COVID-19 treatment. The repurposed drugs used were either antiviral or non-antiviral drugs. Accordingly, the present review thoroughly focuses on the repurposing efficacy of these drugs including clinical trials experienced, the combination therapies used, the novel methods followed for treatment, and their future perspective. Therefore, drug repurposing was regarded as an effective avenue for COVID-19 treatment. Recently, molnupiravir is a prodrug antiviral medication that was approved in the United Kingdom in November 2021 for the treatment of COVID-19. On the other hand, PF-07321332 is an oral antiviral drug developed by Pfizer. For the treatment of COVID-19, the PF-07321332/ritonavir combination medication is used in Phase III studies and was marketed as Paxlovid. Herein, we represented the almost history of combating COVID-19 from repurposing to the recently available oral anti-SARS-CoV-2 candidates, as a new hope to end the current pandemic."
34989782,A National Strategy for COVID-19 Medical Countermeasures: Vaccines and Therapeutics.,
35271729,"Pharmacokinetics of ß-d-N4-hydroxycytidine, the parent nucleoside of prodrug molnupiravir, in non-plasma compartments of patients with SARS-CoV-2 infection.","ß-d-N4-hydroxycytidine (NHC), the parent nucleoside of molnupiravir, a COVID-19 antiviral, was quantified at sites of SARS-CoV-2 transmission in twelve patients enrolled in AGILE CST-2 (NCT04746183). Saliva, nasal and tear concentrations were 3, 21 and 22% that of plasma. Saliva and nasal NHC concentrations were significantly correlated with plasma (p<0.0001)."
35342288,Molnupiravir Does Not Induce Mutagenesis in Host Lung Cells during SARS-CoV-2 Treatment.,"As SARS-CoV-2 continues to evolve and spread with the emergence of new variants, interest in small molecules with broad-spectrum antiviral activity has grown. One such molecule, Molnupiravir (MOV; other names: MK-4482, EIDD-2801), a ribonucleoside analogue, has emerged as an effective SARS-CoV-2 treatment by inducing catastrophic viral mutagenesis during replication. However, there are growing concerns as MOV's potential to induce host DNA mutagenesis remains an open question. Analysis of RNA-seq data from SARS-CoV-2-infected MOV-treated golden hamster lung biopsies confirmed MOV's efficiency in stopping SARS-CoV-2 replication. Importantly, MOV treatment did not increase mutations in the host lung cells. This finding calls for additional mutation calls on host biopsies from more proliferative tissues to fully explore MOV's hypothesized mutagenic risk."
35473816,Two new oral antivirals for covid-19: ▼molnupiravir and ▼nirmatrelvir plus ritonavir.,
35233098,Hundreds of COVID trials could provide a deluge of new drugs.,
35132671,A computational comparative analysis of the binding mechanism of molnupiravir's active metabolite to RNA-dependent RNA polymerase of wild-type and Delta subvariant AY.4 of SARS-CoV-2.,"The antiviral drug molnupiravir targets the SARS-CoV-2 RNA-dependent RNA polymerase (RdRP) enzyme. Early treatment with molnupiravir reduced the risk of hospitalization or death in at-risk, unvaccinated adults with COVID-19, according to phase 3 clinical trials. Many mutations have occurred within this virus as a result of its widespread distribution. The current study sought to determine whether mutations in the RdRP of Delta subvariant AY.4 (D-AY.4 RdRP) influence the interaction of the enzyme with molnupiravir triphosphate (MTP), the active metabolite of molnupiravir. The interactions between the wild-type (WT) RdRP and D-AY.4 RdRP with MTP were evaluated based on molecular docking and dynamic simulation (MD) studies. The results show that the MTP interaction is stronger and more stable with D-AY.4 RdRP than with WT RdRP. This study provides insight into the potential significance of administering MTP to patients infected with D-AY.4 RdRP, which may have a more favorable chance of alleviating the illness. According to the findings of this study, MTP has a high likelihood of becoming widely used as an anti-SARS-CoV-2 agent. The fact that MTP is not only cytotoxic but also mutagenic to mammalian cells, as well as the possibility that it may cause DNA damage in the host, have all been raised as potential concerns."
35078637,Newer oral antivirals for COVID-19: Are they the real game changer?,
35279008,Drug interaction risk between cardioprotective drugs and drugs used in treatment of COVID-19: A evidence-based review from six databases.,"BACKGROUND AND AIMS: This Review discusses the potential drug interactions risk between Drugs used in treating COVID-19 infection and Drugs used in treating comorbid conditions (Diabetes, hypertension, cardiovascular illness). METHOD: Six Databases were consulted a) Micromedex drug interaction b) Medicine complete.com c) Liverpool Drug Interaction Group for COVID-19 therapies d) Epocrates e) Medscape f) drugs.com. To acquire information on possible interaction effects between drugs used for COVID-19 treatment such as atazanavir, lopinavir/ritonavir, remdesivir, molnupiravir, paxlovid(nirmatrelvir/ritonavir), dexamethasone, azithromycin, chloroquine, and FDA approved monoclonal antibodies with primarily used antidiabetic drugs, antihypertensive drugs, and drugs acting on the cardiovascular system. RESULTS: Potential interaction effects such as worsening glycemic control were prominent with lopinavir/ritonavir and the primarily used antidiabetic drugs, which needs dosage adjustment and close monitoring. The risk of hypotension and irregular heart rhythm is the potential interaction effects with concomitant use of drugs for COVID-19 treatment and antihypertensive drugs. Caution is advised with drugs such as atazanavir and lopinavir/ritonavir when concomitantly used in treating comorbid conditions. Drugs such as remdesivir, molnupiravir, and some monoclonal antibodies are safer in use with drugs used in treating the comorbid condition. CONCLUSIONS: Drug-drug interaction remains one of the significant factors in altering the therapeutic efficacy. Drugs used to manage comorbid conditions may influence the COVID-19 treatment with potential interaction effects. These enhance the view on safety concerns about the drug interaction risk in managing COVID-19 infection in patients with comorbid conditions. This primary evidence may concern preventing potential or unintentional effects resulting from Drug-drug interaction, Improving patient quality of life."
35118666,"Omicron (B.1.1.529) variant of SARS-CoV-2: Concerns, challenges, and recent updates.","Omicron has shown immune escape from neutralizing antibodies generated through previous infection or vaccination. It could evade the protection provided by mAbs being used in clinics for treating coronavirus disease 2019 (COVID‐19) patients. Booster dose is recommended to elevate the protective levels of antibodies in COVID‐19 vaccinated individuals. The development of powerful oral antiviral drugs such as Molnupiravir and Paxlovid have shown promising clinical results and raised new hopes of COVID‐19 treatment. High efforts are being made to develop highly efficacious vaccines, and by implementing appropriate prevention and control strategies to counter Omicron."
35058587,Structure genomics of SARS-CoV-2 and its Omicron variant: drug design templates for COVID-19.,"Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has brought an unprecedented public health crisis and persistently threatens to humanity. With tireless efforts from scientists around the world, understanding of the biology of coronavirus has been greatly enhanced over the past 2 years. Structural biology has demonstrated its powerful impact on uncovering structures and functions for the vast majority of SARS-CoV-2 proteins and guided the development of drugs and vaccines against COVID-19. In this review, we summarize current progress in the structural biology of SARS-CoV-2 and discuss important biological issues that remain to be addressed. We present the examples of structure-based design of Pfizer's novel anti-SARS-CoV-2 drug PF-07321332 (Paxlovid), Merck's nucleotide inhibitor molnupiravir (Lagevrio), and VV116, an oral drug candidate for COVID-19. These examples highlight the importance of structure in drug discovery to combat COVID-19. We also discussed the recent variants of Omicron and its implication in immunity escape from existing vaccines and antibody therapies."
